nome,numero,ranking,id_pokedex,tipos,habilidades,altura,peso,base_experience
doduo,84,1,84,"normal, flying","run-away, early-bird, tangled-feet",14,392,62
golbat,42,2,42,"poison, flying","inner-focus, infiltrator",16,550,159
dratini,147,3,147,dragon,"shed-skin, marvel-scale",18,33,60
marowak,105,4,105,ground,"rock-head, lightning-rod, battle-armor",10,450,149
vulpix,37,5,37,fire,"flash-fire, drought",6,99,60
beedrill,15,6,15,"bug, poison","swarm, sniper",10,295,178
mankey,56,7,56,fighting,"vital-spirit, anger-point, defiant",5,280,61
nidoran-m,32,8,32,poison,"poison-point, rivalry, hustle",5,90,55
eevee,133,9,133,normal,"run-away, adaptability, anticipation",3,65,65
venonat,48,10,48,"bug, poison","compound-eyes, tinted-lens, run-away",10,300,61
aerodactyl,142,11,142,"rock, flying","rock-head, pressure, unnerve",18,590,180
gengar,94,12,94,"ghost, poison",cursed-body,15,405,225
golduck,55,13,55,water,"damp, cloud-nine, swift-swim",17,766,175
ninetales,38,14,38,fire,"flash-fire, drought",11,199,177
weedle,13,15,13,"bug, poison","shield-dust, run-away",3,32,39
charmeleon,5,16,5,fire,"blaze, solar-power",11,190,142
moltres,146,17,146,"fire, flying","pressure, flame-body",20,600,261
venomoth,49,18,49,"bug, poison","shield-dust, tinted-lens, wonder-skin",15,125,158
cloyster,91,19,91,"water, ice","shell-armor, skill-link, overcoat",15,1325,184
onix,95,20,95,"rock, ground","rock-head, sturdy, weak-armor",88,2100,77
wigglytuff,40,21,40,"normal, fairy","cute-charm, competitive, frisk",10,120,196
pidgeotto,17,22,17,"normal, flying","keen-eye, tangled-feet, big-pecks",11,300,122
weepinbell,70,23,70,"grass, poison","chlorophyll, gluttony",10,64,137
gastly,92,24,92,"ghost, poison",levitate,13,1,62
abra,63,25,63,psychic,"synchronize, inner-focus, magic-guard",9,195,62
omanyte,138,26,138,"rock, water","swift-swim, shell-armor, weak-armor",4,75,71
gloom,44,27,44,"grass, poison","chlorophyll, stench",8,86,138
ivysaur,2,28,2,"grass, poison","overgrow, chlorophyll",10,130,142
nidorino,33,29,33,poison,"poison-point, rivalry, hustle",9,195,128
exeggcute,102,30,102,"grass, psychic","chlorophyll, harvest",4,25,65
slowbro,80,31,80,"water, psychic","oblivious, own-tempo, regenerator",16,785,172
meowth,52,32,52,normal,"pickup, technician, unnerve",4,42,58
pidgeot,18,33,18,"normal, flying","keen-eye, tangled-feet, big-pecks",15,395,216
magmar,126,34,126,fire,"flame-body, vital-spirit",13,445,173
vaporeon,134,35,134,water,"water-absorb, hydration",10,290,184
dugtrio,51,36,51,ground,"sand-veil, arena-trap, sand-force",7,333,149
nidoran-f,29,37,29,poison,"poison-point, rivalry, hustle",4,70,55
seaking,119,38,119,water,"swift-swim, water-veil, lightning-rod",13,390,158
hitmonlee,106,39,106,fighting,"limber, reckless, unburden",15,498,159
dewgong,87,40,87,"water, ice","thick-fat, hydration, ice-body",17,1200,166
drowzee,96,41,96,psychic,"insomnia, forewarn, inner-focus",10,324,66
bulbasaur,1,42,1,"grass, poison","overgrow, chlorophyll",7,69,64
lapras,131,43,131,"water, ice","water-absorb, shell-armor, hydration",25,2200,187
kabuto,140,44,140,"rock, water","swift-swim, battle-armor, weak-armor",5,115,71
geodude,74,45,74,"rock, ground","rock-head, sturdy, sand-veil",4,200,60
staryu,120,46,120,water,"illuminate, natural-cure, analytic",8,345,68
kakuna,14,47,14,"bug, poison",shed-skin,6,100,72
porygon,137,48,137,normal,"trace, download, analytic",8,365,79
graveler,75,49,75,"rock, ground","rock-head, sturdy, sand-veil",10,1050,137
goldeen,118,50,118,water,"swift-swim, water-veil, lightning-rod",6,150,64
scyther,123,51,123,"bug, flying","swarm, technician, steadfast",15,560,100
tentacruel,73,52,73,"water, poison","clear-body, liquid-ooze, rain-dish",16,550,180
kabutops,141,53,141,"rock, water","swift-swim, battle-armor, weak-armor",13,405,173
tangela,114,54,114,grass,"chlorophyll, leaf-guard, regenerator",10,350,87
persian,53,55,53,normal,"limber, technician, unnerve",10,320,154
victreebel,71,56,71,"grass, poison","chlorophyll, gluttony",17,155,221
caterpie,10,57,10,bug,"shield-dust, run-away",3,29,39
magikarp,129,58,129,water,"swift-swim, rattled",9,100,40
primeape,57,59,57,fighting,"vital-spirit, anger-point, defiant",10,320,159
