nome,numero,ranking
doduo,84,1
golbat,42,2
dratini,147,3
marowak,105,4
vulpix,37,5
beedrill,15,6
mankey,56,7
nidoran-m,32,8
eevee,133,9
venonat,48,10
aerodactyl,142,11
gengar,94,12
golduck,55,13
ninetales,38,14
weedle,13,15
charmeleon,5,16
moltres,146,17
venomoth,49,18
cloyster,91,19
onix,95,20
wigglytuff,40,21
pidgeotto,17,22
weepinbell,70,23
gastly,92,24
abra,63,25
omanyte,138,26
gloom,44,27
ivysaur,2,28
nidorino,33,29
exeggcute,102,30
slowbro,80,31
meowth,52,32
pidgeot,18,33
magmar,126,34
vaporeon,134,35
dugtrio,51,36
nidoran-f,29,37
seaking,119,38
hitmonlee,106,39
dewgong,87,40
drowzee,96,41
bulbasaur,1,42
lapras,131,43
kabuto,140,44
geodude,74,45
staryu,120,46
kakuna,14,47
porygon,137,48
graveler,75,49
goldeen,118,50
scyther,123,51
tentacruel,73,52
kabutops,141,53
tangela,114,54
persian,53,55
victreebel,71,56
caterpie,10,57
magikarp,129,58
primeape,57,59
charmander,4,60
oddish,43,61
exeggutor,103,62
jynx,124,63
starmie,121,64
seel,86,65
nidorina,30,66
sandslash,28,67
electabuzz,125,68
arcanine,59,69
nidoqueen,31,70
omastar,139,71
rhyhorn,111,72
vileplume,45,73
machop,66,74
dragonite,149,75
sandshrew,27,76
electrode,101,77
ekans,23,78
machamp,68,79
jolteon,135,80
wartortle,8,81
kadabra,64,82
horsea,116,83
kingler,99,84
magneton,82,85
blastoise,9,86
growlithe,58,87
magnemite,81,88
zubat,41,89
clefable,36,90
haunter,93,91
grimer,88,92
mr-mime,122,93
snorlax,143,94
seadra,117,95
rapidash,78,96
weezing,110,97
articuno,144,98
squirtle,7,99
muk,89,100
butterfree,12,101
raticate,20,102
venusaur,3,103
nidoking,34,104
fearow,22,105
raichu,26,106
arbok,24,107
krabby,98,108
tentacool,72,109
slowpoke,79,110
mewtwo,150,111
tauros,128,112
lickitung,108,113
jigglypuff,39,114
voltorb,100,115
bellsprout,69,116
charizard,6,117
farfetchd,83,118
spearow,21,119
hitmonchan,107,120
rhydon,112,121
metapod,11,122
dodrio,85,123
gyarados,130,124
psyduck,54,125
dragonair,148,126
pikachu,25,127
mew,151,128
machoke,67,129
flareon,136,130
cubone,104,131
parasect,47,132
alakazam,65,133
golem,76,134
clefairy,35,135
ditto,132,136
kangaskhan,115,137
diglett,50,138
shellder,90,139
hypno,97,140
chansey,113,141
rattata,19,142
ponyta,77,143
poliwhirl,61,144
koffing,109,145
poliwag,60,146
paras,46,147
pinsir,127,148
poliwrath,62,149
zapdos,145,150
pidgey,16,151
