nome,id_pokedex,tipos,habilidades,altura,peso,base_experience
machop,66,fighting,"guts, no-guard, steadfast",8,195,61
clefable,36,fairy,"cute-charm, magic-guard, unaware",13,400,217
nidoran-f,29,poison,"poison-point, rivalry, hustle",4,70,55
kakuna,14,"bug, poison",shed-skin,6,100,72
electrode,101,electric,"soundproof, static, aftermath",12,666,172
chansey,113,normal,"natural-cure, serene-grace, healer",11,346,395
primeape,57,fighting,"vital-spirit, anger-point, defiant",10,320,159
shellder,90,water,"shell-armor, skill-link, overcoat",3,40,61
golduck,55,water,"damp, cloud-nine, swift-swim",17,766,175
pikachu,25,electric,"static, lightning-rod",4,60,112
charmeleon,5,fire,"blaze, solar-power",11,190,142
gloom,44,"grass, poison","chlorophyll, stench",8,86,138
alakazam,65,psychic,"synchronize, inner-focus, magic-guard",15,480,225
slowbro,80,"water, psychic","oblivious, own-tempo, regenerator",16,785,172
venonat,48,"bug, poison","compound-eyes, tinted-lens, run-away",10,300,61
krabby,98,water,"hyper-cutter, shell-armor, sheer-force",4,65,65
metapod,11,bug,shed-skin,7,99,72
tentacool,72,"water, poison","clear-body, liquid-ooze, rain-dish",9,455,67
lapras,131,"water, ice","water-absorb, shell-armor, hydration",25,2200,187
arcanine,59,fire,"intimidate, flash-fire, justified",19,1550,194
arbok,24,poison,"intimidate, shed-skin, unnerve",35,650,157
butterfree,12,"bug, flying","compound-eyes, tinted-lens",11,320,178
parasect,47,"bug, grass","effect-spore, dry-skin, damp",10,295,142
horsea,116,water,"swift-swim, sniper, damp",4,80,59
dodrio,85,"normal, flying","run-away, early-bird, tangled-feet",18,852,165
kabuto,140,"rock, water","swift-swim, battle-armor, weak-armor",5,115,71
gyarados,130,"water, flying","intimidate, moxie",65,2350,189
ninetales,38,fire,"flash-fire, drought",11,199,177
sandshrew,27,ground,"sand-veil, sand-rush",6,120,60
fearow,22,"normal, flying","keen-eye, sniper",12,380,155
caterpie,10,bug,"shield-dust, run-away",3,29,39
charizard,6,"fire, flying","blaze, solar-power",17,905,240
jolteon,135,electric,"volt-absorb, quick-feet",8,245,184
pidgey,16,"normal, flying","keen-eye, tangled-feet, big-pecks",3,18,50
spearow,21,"normal, flying","keen-eye, sniper",3,20,52
diglett,50,ground,"sand-veil, arena-trap, sand-force",2,8,53
weezing,110,poison,"levitate, neutralizing-gas, stench",12,95,172
kabutops,141,"rock, water","swift-swim, battle-armor, weak-armor",13,405,173
mr-mime,122,"psychic, fairy","soundproof, filter, technician",13,545,161
koffing,109,poison,"levitate, neutralizing-gas, stench",6,10,68
exeggcute,102,"grass, psychic","chlorophyll, harvest",4,25,65
vaporeon,134,water,"water-absorb, hydration",10,290,184
eevee,133,normal,"run-away, adaptability, anticipation",3,65,65
ivysaur,2,"grass, poison","overgrow, chlorophyll",10,130,142
lickitung,108,normal,"own-tempo, oblivious, cloud-nine",12,655,77
grimer,88,poison,"stench, sticky-hold, poison-touch",9,300,65
raichu,26,electric,"static, lightning-rod",8,300,218
rattata,19,normal,"run-away, guts, hustle",3,35,51
abra,63,psychic,"synchronize, inner-focus, magic-guard",9,195,62
aerodactyl,142,"rock, flying","rock-head, pressure, unnerve",18,590,180
seadra,117,water,"poison-point, sniper, damp",12,250,154
pidgeot,18,"normal, flying","keen-eye, tangled-feet, big-pecks",15,395,216
oddish,43,"grass, poison","chlorophyll, run-away",5,54,64
tangela,114,grass,"chlorophyll, leaf-guard, regenerator",10,350,87
golbat,42,"poison, flying","inner-focus, infiltrator",16,550,159
mewtwo,150,psychic,"pressure, unnerve",20,1220,306
venusaur,3,"grass, poison","overgrow, chlorophyll",20,1000,236
raticate,20,normal,"run-away, guts, hustle",7,185,145
ditto,132,normal,"limber, imposter",3,40,101
slowpoke,79,"water, psychic","oblivious, own-tempo, regenerator",12,360,63
onix,95,"rock, ground","rock-head, sturdy, weak-armor",88,2100,77
tentacruel,73,"water, poison","clear-body, liquid-ooze, rain-dish",16,550,180
weedle,13,"bug, poison","shield-dust, run-away",3,32,39
vileplume,45,"grass, poison","chlorophyll, effect-spore",12,186,221
starmie,121,"water, psychic","illuminate, natural-cure, analytic",11,800,182
staryu,120,water,"illuminate, natural-cure, analytic",8,345,68
electabuzz,125,electric,"static, vital-spirit",11,300,172
charmander,4,fire,"blaze, solar-power",6,85,62
victreebel,71,"grass, poison","chlorophyll, gluttony",17,155,221
psyduck,54,water,"damp, cloud-nine, swift-swim",8,196,64
bellsprout,69,"grass, poison","chlorophyll, gluttony",7,40,60
ekans,23,poison,"intimidate, shed-skin, unnerve",20,69,58
venomoth,49,"bug, poison","shield-dust, tinted-lens, wonder-skin",15,125,158
wartortle,8,water,"torrent, rain-dish",10,225,142
dragonite,149,"dragon, flying","inner-focus, multiscale",22,2100,270
rhydon,112,"ground, rock","lightning-rod, rock-head, reckless",19,1200,170
gengar,94,"ghost, poison",cursed-body,15,405,225
cloyster,91,"water, ice","shell-armor, skill-link, overcoat",15,1325,184
poliwrath,62,"water, fighting","water-absorb, damp, swift-swim",13,540,230
machoke,67,fighting,"guts, no-guard, steadfast",15,705,142
wigglytuff,40,"normal, fairy","cute-charm, competitive, frisk",10,120,196
haunter,93,"ghost, poison",levitate,16,1,142
hitmonlee,106,fighting,"limber, reckless, unburden",15,498,159
magneton,82,"electric, steel","magnet-pull, sturdy, analytic",10,600,163
moltres,146,"fire, flying","pressure, flame-body",20,600,261
voltorb,100,electric,"soundproof, static, aftermath",5,104,66
scyther,123,"bug, flying","swarm, technician, steadfast",15,560,100
nidoking,34,"poison, ground","poison-point, rivalry, sheer-force",14,620,227
tauros,128,normal,"intimidate, anger-point, sheer-force",14,884,172
jynx,124,"ice, psychic","oblivious, forewarn, dry-skin",14,406,159
articuno,144,"ice, flying","pressure, snow-cloak",17,554,261
pinsir,127,bug,"hyper-cutter, mold-breaker, moxie",15,550,175
muk,89,poison,"stench, sticky-hold, poison-touch",12,300,175
paras,46,"bug, grass","effect-spore, dry-skin, damp",3,54,57
pidgeotto,17,"normal, flying","keen-eye, tangled-feet, big-pecks",11,300,122
kangaskhan,115,normal,"early-bird, scrappy, inner-focus",22,800,172
jigglypuff,39,"normal, fairy","cute-charm, competitive, friend-guard",5,55,95
flareon,136,fire,"flash-fire, guts",9,250,184
zubat,41,"poison, flying","inner-focus, infiltrator",8,75,49
exeggutor,103,"grass, psychic","chlorophyll, harvest",20,1200,186
doduo,84,"normal, flying","run-away, early-bird, tangled-feet",14,392,62
dratini,147,dragon,"shed-skin, marvel-scale",18,33,60
meowth,52,normal,"pickup, technician, unnerve",4,42,58
beedrill,15,"bug, poison","swarm, sniper",10,295,178
poliwag,60,water,"water-absorb, damp, swift-swim",6,124,60
seaking,119,water,"swift-swim, water-veil, lightning-rod",13,390,158
hypno,97,psychic,"insomnia, forewarn, inner-focus",16,756,169
machamp,68,fighting,"guts, no-guard, steadfast",16,1300,227
hitmonchan,107,fighting,"keen-eye, iron-fist, inner-focus",14,502,159
marowak,105,ground,"rock-head, lightning-rod, battle-armor",10,450,149
weepinbell,70,"grass, poison","chlorophyll, gluttony",10,64,137
rapidash,78,fire,"run-away, flash-fire, flame-body",17,950,175
snorlax,143,normal,"immunity, thick-fat, gluttony",21,4600,189
nidorino,33,poison,"poison-point, rivalry, hustle",9,195,128
omastar,139,"rock, water","swift-swim, shell-armor, weak-armor",10,350,173
nidoran-m,32,poison,"poison-point, rivalry, hustle",5,90,55
gastly,92,"ghost, poison",levitate,13,1,62
sandslash,28,ground,"sand-veil, sand-rush",10,295,158
dragonair,148,dragon,"shed-skin, marvel-scale",40,165,147
magnemite,81,"electric, steel","magnet-pull, sturdy, analytic",3,60,65
kadabra,64,psychic,"synchronize, inner-focus, magic-guard",13,565,140
zapdos,145,"electric, flying","pressure, static",16,526,261
geodude,74,"rock, ground","rock-head, sturdy, sand-veil",4,200,60
mankey,56,fighting,"vital-spirit, anger-point, defiant",5,280,61
poliwhirl,61,water,"water-absorb, damp, swift-swim",10,200,135
growlithe,58,fire,"intimidate, flash-fire, justified",7,190,70
rhyhorn,111,"ground, rock","lightning-rod, rock-head, reckless",10,1150,69
seel,86,water,"thick-fat, hydration, ice-body",11,900,65
nidorina,30,poison,"poison-point, rivalry, hustle",8,200,128
graveler,75,"rock, ground","rock-head, sturdy, sand-veil",10,1050,137
kingler,99,water,"hyper-cutter, shell-armor, sheer-force",13,600,166
magikarp,129,water,"swift-swim, rattled",9,100,40
ponyta,77,fire,"run-away, flash-fire, flame-body",10,300,82
dewgong,87,"water, ice","thick-fat, hydration, ice-body",17,1200,166
drowzee,96,psychic,"insomnia, forewarn, inner-focus",10,324,66
goldeen,118,water,"swift-swim, water-veil, lightning-rod",6,150,64
clefairy,35,fairy,"cute-charm, magic-guard, friend-guard",6,75,113
squirtle,7,water,"torrent, rain-dish",5,90,63
omanyte,138,"rock, water","swift-swim, shell-armor, weak-armor",4,75,71
nidoqueen,31,"poison, ground","poison-point, rivalry, sheer-force",13,600,227
golem,76,"rock, ground","rock-head, sturdy, sand-veil",14,3000,223
blastoise,9,water,"torrent, rain-dish",16,855,239
dugtrio,51,ground,"sand-veil, arena-trap, sand-force",7,333,149
bulbasaur,1,"grass, poison","overgrow, chlorophyll",7,69,64
magmar,126,fire,"flame-body, vital-spirit",13,445,173
persian,53,normal,"limber, technician, unnerve",10,320,154
mew,151,psychic,synchronize,4,40,270
farfetchd,83,"normal, flying","keen-eye, inner-focus, defiant",8,150,132
porygon,137,normal,"trace, download, analytic",8,365,79
cubone,104,ground,"rock-head, lightning-rod, battle-armor",4,65,64
vulpix,37,fire,"flash-fire, drought",6,99,60
