nome,numero,ranking
machop,66,1
clefable,36,2
nidoran-f,29,3
kakuna,14,4
electrode,101,5
chansey,113,6
primeape,57,7
shellder,90,8
golduck,55,9
pikachu,25,10
charmeleon,5,11
gloom,44,12
alakazam,65,13
slowbro,80,14
venonat,48,15
krabby,98,16
metapod,11,17
tentacool,72,18
lapras,131,19
arcanine,59,20
arbok,24,21
butterfree,12,22
parasect,47,23
horsea,116,24
dodrio,85,25
kabuto,140,26
gyarados,130,27
ninetales,38,28
sandshrew,27,29
fearow,22,30
caterpie,10,31
charizard,6,32
jolteon,135,33
pidgey,16,34
spearow,21,35
diglett,50,36
weezing,110,37
kabutops,141,38
mr-mime,122,39
koffing,109,40
exeggcute,102,41
vaporeon,134,42
eevee,133,43
ivysaur,2,44
lickitung,108,45
grimer,88,46
raichu,26,47
rattata,19,48
abra,63,49
aerodactyl,142,50
seadra,117,51
pidgeot,18,52
oddish,43,53
tangela,114,54
golbat,42,55
mewtwo,150,56
venusaur,3,57
raticate,20,58
ditto,132,59
slowpoke,79,60
onix,95,61
tentacruel,73,62
weedle,13,63
vileplume,45,64
starmie,121,65
staryu,120,66
electabuzz,125,67
charmander,4,68
victreebel,71,69
psyduck,54,70
bellsprout,69,71
ekans,23,72
venomoth,49,73
wartortle,8,74
dragonite,149,75
rhydon,112,76
gengar,94,77
cloyster,91,78
poliwrath,62,79
machoke,67,80
wigglytuff,40,81
haunter,93,82
hitmonlee,106,83
magneton,82,84
moltres,146,85
voltorb,100,86
scyther,123,87
nidoking,34,88
tauros,128,89
jynx,124,90
articuno,144,91
pinsir,127,92
muk,89,93
paras,46,94
pidgeotto,17,95
kangaskhan,115,96
jigglypuff,39,97
flareon,136,98
zubat,41,99
exeggutor,103,100
doduo,84,101
dratini,147,102
meowth,52,103
beedrill,15,104
poliwag,60,105
seaking,119,106
hypno,97,107
machamp,68,108
hitmonchan,107,109
marowak,105,110
weepinbell,70,111
rapidash,78,112
snorlax,143,113
nidorino,33,114
omastar,139,115
nidoran-m,32,116
gastly,92,117
sandslash,28,118
dragonair,148,119
magnemite,81,120
kadabra,64,121
zapdos,145,122
geodude,74,123
mankey,56,124
poliwhirl,61,125
growlithe,58,126
rhyhorn,111,127
seel,86,128
nidorina,30,129
graveler,75,130
kingler,99,131
magikarp,129,132
ponyta,77,133
dewgong,87,134
drowzee,96,135
goldeen,118,136
clefairy,35,137
squirtle,7,138
omanyte,138,139
nidoqueen,31,140
golem,76,141
blastoise,9,142
dugtrio,51,143
bulbasaur,1,144
magmar,126,145
persian,53,146
mew,151,147
farfetchd,83,148
porygon,137,149
cubone,104,150
vulpix,37,151
